ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_20,5.88,0.00,11.76,11.76,5.88,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,11.76,5.88,5.88,17.65,0.00,11.76
Seq_21,18.18,0.00,9.09,18.18,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,0.00,0.00,9.09
Seq_22,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,35.71,0.00,0.00,7.14,7.14,7.14,7.14
Seq_23,0.00,0.00,6.67,0.00,0.00,13.33,0.00,0.00,6.67,26.67,13.33,0.00,0.00,0.00,13.33,0.00,6.67,0.00,13.33,0.00
Seq_24,6.67,6.67,0.00,6.67,0.00,13.33,6.67,0.00,6.67,6.67,0.00,0.00,13.33,0.00,0.00,6.67,13.33,0.00,6.67,6.67
Seq_25,18.18,0.00,18.18,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,27.27,9.09,0.00,0.00,9.09
Seq_26,0.00,0.00,0.00,20.00,6.67,6.67,0.00,6.67,6.67,13.33,0.00,6.67,0.00,0.00,6.67,0.00,6.67,20.00,0.00,0.00
Seq_27,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,13.33,6.67,0.00,0.00,13.33,13.33,0.00,13.33,13.33,0.00,0.00,6.67
Seq_28,0.00,0.00,12.50,12.50,6.25,0.00,6.25,0.00,6.25,0.00,6.25,0.00,6.25,6.25,0.00,0.00,12.50,25.00,0.00,0.00
Seq_29,20.00,0.00,0.00,20.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,0.00,0.00,0.00,0.00
Seq_30,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,29.41,0.00,11.76,5.88,0.00,5.88,0.00,17.65,11.76,0.00,0.00
Seq_31,0.00,13.33,0.00,0.00,0.00,0.00,6.67,13.33,0.00,13.33,0.00,20.00,20.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00
Seq_32,0.00,7.69,0.00,15.38,0.00,7.69,0.00,15.38,0.00,0.00,0.00,15.38,7.69,0.00,0.00,7.69,7.69,7.69,0.00,7.69
Seq_33,6.67,0.00,6.67,6.67,6.67,0.00,0.00,13.33,26.67,0.00,0.00,0.00,13.33,0.00,13.33,0.00,0.00,6.67,0.00,0.00
Seq_34,0.00,0.00,0.00,11.11,11.11,33.33,0.00,0.00,22.22,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00
Seq_35,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,25.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00
Seq_36,5.88,0.00,5.88,0.00,0.00,5.88,0.00,11.76,11.76,0.00,0.00,23.53,0.00,11.76,0.00,5.88,11.76,5.88,0.00,0.00
Seq_37,11.11,0.00,0.00,5.56,0.00,16.67,0.00,5.56,5.56,22.22,0.00,0.00,5.56,11.11,5.56,11.11,0.00,0.00,0.00,0.00
Seq_38,6.67,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,13.33,0.00,33.33,26.67,6.67,0.00,0.00,0.00
Seq_39,20.00,13.33,0.00,0.00,6.67,13.33,0.00,6.67,20.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00
Seq_40,6.67,0.00,0.00,13.33,0.00,13.33,0.00,0.00,6.67,13.33,0.00,0.00,6.67,0.00,0.00,6.67,13.33,6.67,0.00,13.33
Seq_41,20.00,6.67,6.67,0.00,13.33,13.33,0.00,0.00,13.33,0.00,0.00,0.00,6.67,0.00,0.00,6.67,13.33,0.00,0.00,0.00
Seq_42,5.56,0.00,0.00,5.56,16.67,22.22,5.56,5.56,0.00,5.56,0.00,0.00,0.00,5.56,0.00,5.56,5.56,11.11,0.00,5.56
Seq_43,26.67,0.00,0.00,13.33,0.00,0.00,0.00,13.33,0.00,6.67,13.33,0.00,0.00,13.33,0.00,0.00,13.33,0.00,0.00,0.00
Seq_44,0.00,0.00,5.56,5.56,5.56,33.33,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,5.56,5.56,11.11,11.11
Seq_45,7.69,7.69,7.69,0.00,0.00,7.69,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,15.38,0.00,7.69,7.69,7.69,7.69
Seq_46,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,13.33,0.00,6.67,6.67,0.00,20.00,6.67,0.00,13.33,0.00,6.67
Seq_47,7.69,0.00,0.00,15.38,7.69,7.69,0.00,7.69,0.00,7.69,7.69,0.00,15.38,0.00,0.00,15.38,0.00,7.69,0.00,0.00
Seq_48,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,6.67,6.67,0.00,20.00,13.33,0.00,13.33,0.00,6.67
Seq_49,13.33,6.67,0.00,0.00,0.00,26.67,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67
Seq_50,0.00,0.00,0.00,5.88,5.88,5.88,0.00,11.76,11.76,11.76,0.00,11.76,0.00,17.65,5.88,0.00,11.76,0.00,0.00,0.00
Seq_51,26.67,0.00,0.00,13.33,0.00,6.67,0.00,6.67,0.00,20.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,6.67,0.00,0.00
Seq_52,13.33,6.67,0.00,0.00,0.00,6.67,0.00,13.33,0.00,6.67,0.00,6.67,6.67,6.67,0.00,6.67,13.33,6.67,0.00,6.67
Seq_53,20.00,6.67,0.00,0.00,13.33,6.67,6.67,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,13.33,6.67,0.00,0.00,6.67
Seq_54,15.00,0.00,0.00,10.00,0.00,10.00,5.00,5.00,0.00,5.00,10.00,0.00,0.00,10.00,0.00,15.00,15.00,0.00,0.00,0.00
Seq_55,0.00,0.00,0.00,0.00,5.26,15.79,0.00,5.26,10.53,0.00,0.00,5.26,21.05,5.26,10.53,5.26,10.53,5.26,0.00,0.00
Seq_56,13.33,0.00,0.00,6.67,0.00,26.67,13.33,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,20.00,0.00,0.00,6.67
Seq_57,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,15.38,0.00,7.69,7.69,7.69,0.00,0.00,15.38,7.69,0.00,7.69
Seq_58,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,31.58,0.00,10.53,5.26,0.00,15.79,0.00,21.05,0.00,0.00,0.00
Seq_59,13.33,0.00,20.00,0.00,6.67,13.33,0.00,13.33,0.00,6.67,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,6.67,6.67
Seq_60,26.67,0.00,0.00,6.67,0.00,13.33,6.67,0.00,0.00,20.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,6.67,0.00,0.00
Seq_61,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,20.00,0.00,6.67,13.33,6.67,0.00,6.67,26.67,6.67,0.00,0.00
Seq_62,5.88,5.88,0.00,0.00,5.88,11.76,5.88,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,29.41,11.76,11.76,0.00,0.00
Seq_63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,42.86,28.57,0.00,0.00,0.00,0.00,0.00,14.29
Seq_64,13.33,0.00,0.00,13.33,6.67,6.67,0.00,20.00,13.33,6.67,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,6.67
Seq_65,13.33,13.33,0.00,0.00,6.67,13.33,0.00,0.00,20.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00
Seq_66,30.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,10.00,5.00,5.00,10.00,0.00,10.00,5.00,5.00,5.00,0.00,10.00
Seq_67,0.00,0.00,14.29,0.00,0.00,7.14,0.00,7.14,7.14,7.14,0.00,0.00,0.00,0.00,7.14,14.29,28.57,7.14,0.00,0.00
Seq_68,11.76,0.00,0.00,5.88,0.00,17.65,0.00,0.00,5.88,23.53,0.00,0.00,5.88,11.76,5.88,11.76,0.00,0.00,0.00,0.00
Seq_69,11.76,11.76,11.76,5.88,0.00,5.88,0.00,11.76,5.88,0.00,5.88,5.88,5.88,5.88,0.00,5.88,5.88,0.00,0.00,0.00
Seq_70,14.29,0.00,7.14,7.14,7.14,0.00,7.14,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,7.14,7.14,21.43,0.00,0.00
Seq_71,0.00,0.00,5.56,5.56,0.00,22.22,11.11,0.00,0.00,0.00,5.56,5.56,0.00,11.11,0.00,5.56,5.56,5.56,5.56,11.11
Seq_72,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,29.41,0.00,17.65,5.88,0.00,5.88,5.88,5.88,0.00,5.88,5.88
Seq_73,0.00,0.00,10.00,10.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,10.00
Seq_74,5.88,0.00,0.00,0.00,5.88,23.53,0.00,23.53,0.00,0.00,5.88,0.00,0.00,0.00,17.65,5.88,0.00,5.88,0.00,5.88
Seq_75,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67,0.00,6.67,0.00,6.67,6.67,6.67,0.00,6.67,6.67,6.67
Seq_76,16.67,0.00,0.00,5.56,0.00,16.67,0.00,0.00,5.56,22.22,0.00,0.00,5.56,11.11,5.56,11.11,0.00,0.00,0.00,0.00
Seq_77,0.00,0.00,13.33,0.00,0.00,13.33,0.00,13.33,0.00,6.67,0.00,0.00,0.00,0.00,13.33,13.33,6.67,6.67,0.00,13.33
Seq_78,6.67,6.67,6.67,0.00,6.67,13.33,0.00,6.67,0.00,20.00,6.67,0.00,6.67,0.00,0.00,0.00,13.33,0.00,0.00,6.67
Seq_79,50.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,15.00,5.00,0.00,0.00,0.00
Seq_80,13.33,0.00,0.00,6.67,6.67,6.67,6.67,6.67,6.67,0.00,0.00,6.67,0.00,0.00,6.67,13.33,20.00,0.00,0.00,0.00
Seq_81,0.00,6.25,6.25,6.25,6.25,18.75,0.00,12.50,0.00,6.25,0.00,6.25,0.00,6.25,0.00,6.25,0.00,6.25,0.00,12.50
Seq_82,6.67,0.00,6.67,13.33,0.00,6.67,0.00,0.00,0.00,13.33,0.00,6.67,6.67,0.00,6.67,0.00,13.33,6.67,6.67,6.67
Seq_83,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,20.00,0.00,0.00,20.00,6.67,6.67,20.00,6.67,6.67,0.00,0.00
Seq_84,6.67,0.00,6.67,13.33,6.67,13.33,6.67,13.33,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,6.67,0.00
Seq_85,0.00,0.00,5.88,17.65,0.00,0.00,0.00,11.76,11.76,11.76,0.00,0.00,0.00,0.00,17.65,0.00,0.00,11.76,5.88,5.88
Seq_86,15.38,0.00,7.69,0.00,0.00,0.00,0.00,7.69,15.38,0.00,0.00,7.69,15.38,7.69,0.00,15.38,0.00,7.69,0.00,0.00
Seq_87,20.00,0.00,0.00,20.00,0.00,13.33,6.67,6.67,0.00,6.67,0.00,0.00,13.33,0.00,6.67,0.00,0.00,6.67,0.00,0.00
Seq_88,6.67,0.00,0.00,0.00,20.00,6.67,0.00,6.67,0.00,6.67,6.67,0.00,13.33,0.00,0.00,6.67,13.33,6.67,0.00,6.67
Seq_89,0.00,0.00,6.25,6.25,0.00,6.25,12.50,0.00,6.25,18.75,0.00,12.50,0.00,0.00,0.00,12.50,6.25,12.50,0.00,0.00
Seq_90,0.00,0.00,5.00,5.00,5.00,10.00,0.00,15.00,15.00,5.00,0.00,10.00,0.00,0.00,5.00,15.00,10.00,0.00,0.00,0.00
Seq_91,30.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,5.00,5.00,0.00,10.00,10.00,5.00,5.00,5.00
Seq_92,12.50,0.00,0.00,12.50,12.50,25.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
Seq_93,33.33,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,0.00,6.67,0.00,0.00
Seq_94,6.67,6.67,13.33,6.67,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,6.67,0.00,13.33
Seq_95,0.00,21.43,0.00,7.14,0.00,7.14,0.00,14.29,0.00,7.14,0.00,0.00,0.00,7.14,0.00,14.29,7.14,7.14,0.00,7.14
Seq_96,13.33,0.00,0.00,6.67,13.33,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,13.33,6.67,6.67,6.67,13.33,6.67,0.00
Seq_97,0.00,0.00,20.00,10.00,30.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00
Seq_98,20.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,13.33,13.33,0.00,6.67,0.00,6.67,6.67,0.00,6.67,6.67,6.67,6.67
Seq_99,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,6.67,0.00,0.00,13.33,13.33,0.00,6.67,0.00,13.33,20.00,0.00,0.00
Seq_100,13.33,0.00,13.33,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,6.67,13.33,20.00,0.00,0.00,0.00,0.00,6.67
Seq_101,0.00,0.00,0.00,0.00,12.50,0.00,25.00,12.50,0.00,0.00,0.00,0.00,25.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00
Seq_102,15.00,0.00,10.00,0.00,5.00,0.00,5.00,5.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,25.00,0.00,15.00,0.00,0.00
Seq_103,0.00,0.00,15.00,15.00,0.00,5.00,0.00,25.00,10.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,5.00,0.00,5.00
Seq_104,15.00,0.00,5.00,5.00,0.00,5.00,5.00,5.00,5.00,5.00,0.00,5.00,15.00,0.00,10.00,5.00,0.00,10.00,0.00,5.00
Seq_105,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,0.00,13.33,0.00,6.67,0.00,6.67,13.33,6.67,20.00,6.67,6.67,0.00
Seq_106,0.00,0.00,6.25,0.00,0.00,6.25,6.25,6.25,18.75,6.25,0.00,12.50,6.25,0.00,0.00,12.50,6.25,12.50,0.00,0.00
Seq_107,20.00,0.00,5.00,5.00,5.00,15.00,0.00,5.00,0.00,5.00,0.00,5.00,5.00,10.00,5.00,0.00,5.00,5.00,0.00,5.00
Seq_108,15.00,0.00,5.00,15.00,0.00,5.00,5.00,10.00,5.00,0.00,0.00,10.00,0.00,0.00,5.00,5.00,0.00,20.00,0.00,0.00
Seq_109,5.00,0.00,10.00,0.00,10.00,10.00,0.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,20.00,0.00,0.00
Seq_110,7.14,0.00,7.14,0.00,0.00,7.14,0.00,21.43,0.00,7.14,7.14,0.00,7.14,14.29,0.00,0.00,7.14,0.00,0.00,14.29
Seq_111,8.33,0.00,0.00,0.00,0.00,16.67,0.00,0.00,8.33,16.67,0.00,0.00,0.00,8.33,16.67,0.00,8.33,0.00,0.00,16.67
Seq_112,11.11,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,22.22,22.22,11.11,0.00,0.00,0.00,0.00
Seq_113,26.67,0.00,13.33,6.67,0.00,13.33,0.00,0.00,0.00,6.67,0.00,0.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00,13.33
Seq_114,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,50.00,5.00,0.00,0.00,0.00,0.00
Seq_115,0.00,0.00,0.00,10.00,0.00,20.00,0.00,10.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
Seq_116,0.00,6.67,6.67,6.67,0.00,13.33,0.00,0.00,6.67,13.33,0.00,0.00,13.33,6.67,0.00,0.00,13.33,6.67,0.00,6.67
Seq_117,13.33,0.00,13.33,0.00,0.00,6.67,0.00,0.00,0.00,20.00,6.67,0.00,0.00,0.00,6.67,13.33,0.00,13.33,0.00,6.67
Seq_118,0.00,5.56,0.00,5.56,5.56,5.56,5.56,11.11,0.00,5.56,0.00,11.11,11.11,5.56,0.00,11.11,5.56,11.11,0.00,0.00
Seq_119,13.33,0.00,0.00,0.00,6.67,6.67,6.67,13.33,0.00,20.00,6.67,0.00,6.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00
Seq_120,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67,0.00,6.67,0.00,6.67,6.67,6.67,0.00,13.33,0.00,6.67
Seq_121,5.56,5.56,0.00,0.00,5.56,11.11,0.00,5.56,0.00,22.22,5.56,5.56,0.00,0.00,0.00,16.67,0.00,11.11,5.56,0.00
Seq_122,5.88,0.00,0.00,5.88,0.00,5.88,0.00,5.88,11.76,0.00,0.00,11.76,11.76,0.00,0.00,5.88,11.76,17.65,0.00,5.88
Seq_123,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,22.22
Seq_124,20.00,0.00,6.67,0.00,0.00,6.67,0.00,6.67,6.67,0.00,0.00,6.67,0.00,6.67,0.00,6.67,6.67,13.33,0.00,13.33
Seq_125,5.56,5.56,0.00,5.56,0.00,11.11,0.00,5.56,11.11,5.56,5.56,0.00,5.56,0.00,11.11,5.56,5.56,11.11,0.00,5.56
Seq_126,16.67,0.00,0.00,5.56,11.11,16.67,5.56,5.56,0.00,5.56,0.00,0.00,0.00,5.56,0.00,5.56,5.56,11.11,0.00,5.56
Seq_127,11.76,0.00,5.88,11.76,5.88,5.88,0.00,11.76,0.00,23.53,0.00,0.00,0.00,0.00,11.76,5.88,5.88,0.00,0.00,0.00
Seq_128,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,22.22,11.11,22.22,11.11,11.11,0.00,0.00,0.00,0.00,0.00
Seq_129,23.08,0.00,0.00,15.38,0.00,7.69,15.38,7.69,7.69,0.00,0.00,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00
Seq_130,11.76,0.00,0.00,11.76,5.88,11.76,0.00,5.88,11.76,5.88,0.00,5.88,0.00,11.76,5.88,5.88,0.00,5.88,0.00,0.00
Seq_131,10.00,5.00,10.00,10.00,5.00,5.00,0.00,10.00,0.00,0.00,0.00,0.00,25.00,0.00,10.00,0.00,5.00,0.00,0.00,5.00
Seq_132,13.33,0.00,0.00,6.67,13.33,13.33,6.67,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,6.67,6.67,6.67,0.00,6.67
Seq_133,8.33,0.00,0.00,8.33,0.00,0.00,8.33,25.00,8.33,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,8.33,0.00,8.33
Seq_134,11.11,0.00,0.00,5.56,0.00,22.22,0.00,0.00,5.56,22.22,0.00,0.00,5.56,16.67,5.56,5.56,0.00,0.00,0.00,0.00
Seq_135,18.18,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,18.18,0.00,18.18,0.00,0.00
Seq_136,20.00,0.00,15.00,5.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,5.00,0.00,10.00,0.00,15.00
Seq_137,13.33,0.00,6.67,6.67,0.00,0.00,6.67,6.67,6.67,0.00,0.00,6.67,0.00,0.00,13.33,0.00,13.33,13.33,0.00,6.67
Seq_138,26.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,13.33,0.00,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,0.00
Seq_139,6.25,0.00,6.25,0.00,6.25,6.25,6.25,0.00,6.25,18.75,6.25,0.00,12.50,6.25,0.00,6.25,6.25,6.25,0.00,0.00
Seq_140,0.00,5.88,5.88,5.88,0.00,11.76,5.88,5.88,11.76,29.41,0.00,11.76,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00
Seq_141,6.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,6.67,13.33,26.67,0.00,6.67
Seq_142,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,14.29,7.14,7.14,21.43,7.14,14.29,7.14,7.14,7.14,0.00,0.00
Seq_143,0.00,0.00,6.25,0.00,0.00,6.25,12.50,18.75,12.50,6.25,0.00,6.25,0.00,0.00,0.00,25.00,6.25,0.00,0.00,0.00
Seq_144,5.00,0.00,20.00,10.00,0.00,0.00,0.00,5.00,5.00,20.00,5.00,5.00,0.00,5.00,0.00,0.00,5.00,10.00,0.00,5.00
Seq_145,20.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,0.00,13.33,6.67,6.67,13.33,0.00,0.00
Seq_146,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,13.33,6.67,6.67,13.33,13.33,13.33,0.00,6.67,13.33,0.00,0.00
Seq_147,8.33,0.00,8.33,0.00,0.00,16.67,0.00,16.67,0.00,8.33,0.00,0.00,0.00,16.67,16.67,0.00,0.00,8.33,0.00,0.00
Seq_148,0.00,0.00,0.00,0.00,0.00,7.69,0.00,15.38,0.00,7.69,0.00,7.69,7.69,7.69,15.38,15.38,7.69,7.69,0.00,0.00
Seq_149,0.00,0.00,31.58,10.53,10.53,0.00,0.00,5.26,5.26,5.26,0.00,5.26,5.26,10.53,0.00,0.00,0.00,5.26,0.00,5.26
Seq_150,7.14,0.00,0.00,14.29,0.00,14.29,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,7.14,35.71,0.00,7.14,0.00,0.00
Seq_151,22.22,0.00,0.00,11.11,11.11,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,11.11,0.00,0.00
Seq_152,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,26.67,0.00,6.67,0.00,6.67,0.00,6.67,13.33,6.67,6.67,0.00
Seq_153,5.26,0.00,5.26,5.26,5.26,5.26,0.00,15.79,10.53,5.26,0.00,5.26,10.53,5.26,0.00,5.26,5.26,10.53,0.00,0.00
Seq_154,12.50,6.25,6.25,0.00,0.00,0.00,0.00,12.50,0.00,18.75,0.00,12.50,12.50,0.00,0.00,18.75,0.00,0.00,0.00,0.00
Seq_155,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,37.50,12.50,0.00,0.00,0.00,0.00
Seq_156,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,20.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Seq_157,15.38,7.69,0.00,0.00,7.69,15.38,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,7.69,7.69,15.38,0.00,7.69,0.00
Seq_158,13.33,0.00,0.00,13.33,6.67,6.67,0.00,26.67,13.33,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,6.67
Seq_159,0.00,0.00,0.00,0.00,9.09,18.18,9.09,18.18,0.00,0.00,0.00,0.00,18.18,0.00,18.18,0.00,0.00,9.09,0.00,0.00
